Player,Team,Season,Position,Minutes,Dribbling,Fouling,Interrupting,Passing,Receiving,Shooting,Goals_Added,player_id
Memo Rodríguez,SKC,2024,CM,1789,-0.26,0.33,-0.09,0.36,-0.26,0.12,0.2,647
Ilie Sánchez,LAFC,2024,DM,2388,-0.1,-0.1,0.75,0.26,-0.43,-0.18,0.2,92
Andrés Herrera,CLB,2024,FB,553,-0.11,0.05,-0.14,-0.37,0.6,0.16,0.2,189
Samuel Shashoua,MIN,2024,W,37,0.11,0.01,-0.02,0.02,-0.01,0.09,0.19,704
Tomás Ángel,LAFC,2024,ST,81,0.07,-0.01,-0.05,-0.13,0.23,0.08,0.19,409
Giuseppe Bovalina,VAN,2024,FB,230,-0.0,0.01,0.12,-0.13,0.12,0.09,0.19,813
Aníbal Godoy,NSH,2024,DM,1642,-0.01,0.1,0.02,0.33,-0.18,-0.08,0.19,195
Calvin Harris,COL,2024,W,1688,0.52,0.23,-0.45,-0.67,0.59,-0.04,0.19,586
Noah Allen,MIA,2024,CB,1078,0.02,-0.17,0.92,-0.26,-0.23,-0.1,0.18,702
Dave Romney,NER,2024,CB,2485,0.0,-0.01,0.64,-0.11,-0.17,-0.16,0.18,193
Micael,HOU,2024,CB,3122,0.07,0.11,-0.05,0.71,-0.49,-0.18,0.17,562
Mitja Ilenic,NYC,2024,FB,1671,0.04,0.02,0.05,-0.01,0.02,0.04,0.17,434
Hosei Kijima,STL,2024,W,927,-0.27,0.23,0.04,0.04,0.13,0.01,0.17,829
Zarek Valentin,MIN,2024,FB,67,-0.0,0.0,0.18,0.01,-0.02,-0.01,0.17,688
Jackson Ragen,SEA,2024,CB,3244,-0.05,0.03,-1.36,1.33,0.0,0.2,0.16,624
Antony,POR,2024,W,2141,-0.65,0.18,0.48,-1.02,1.17,-0.02,0.16,322
Anthony Markanich,"STL, MIN",2024,FB,1545,-0.24,0.04,0.16,0.27,-0.22,0.14,0.15,760
Dagur Dan Thórhallsson,ORL,2024,FB,2746,0.11,-0.09,0.65,-1.34,0.56,0.26,0.15,426
Alexander Freeman,ORL,2024,FB,18,-0.0,-0.0,-0.02,0.0,0.12,0.05,0.14,691
Cody Baker,SEA,2024,FB,566,0.05,0.03,0.31,0.09,-0.22,-0.12,0.14,677
Leo Väisänen,ATX,2024,CB,945,0.04,0.05,0.29,-0.14,-0.09,-0.0,0.14,240
Randall Leal,NSH,2024,W,65,-0.05,0.01,0.13,-0.09,0.07,0.08,0.14,103
Tom Barlow,CHI,2024,ST,941,0.18,-0.12,0.14,-0.4,0.3,0.03,0.13,470
Tarik Scott,FCD,2024,W,72,0.06,0.26,0.01,-0.1,-0.06,-0.04,0.13,628
Jahkeele Marshall-Rutty,"MTL, TOR",2024,FB,1910,0.2,0.35,-0.12,-0.55,0.19,0.06,0.13,532
Rodrigues,SJE,2024,CB,3073,-0.07,0.1,-0.69,-0.26,0.86,0.17,0.12,203
Cassius Mailula,TOR,2024,AM,30,0.01,-0.0,-0.01,-0.06,0.11,0.08,0.12,443
Sam Vines,COL,2024,FB,2451,-0.1,0.2,0.2,-0.52,0.34,-0.0,0.12,151
