"Date","Time","Home","HG","HxGt","HxGp","Away","AG","AxGt","AxGp","GD","xGDt","xGDp","Final","HxPts","AxPts"
"2024-07-07","20:30 EDT","SKC","3","2.67","2.67","FCD","1","1.95","2.21","2","0.72","0.46","1","1.93","0.85"
"2024-07-06","22:30 EDT","SEA","2","1.07","1.07","NER","0","0.70","0.72","2","0.37","0.35","2","1.67","0.99"
"2024-07-06","21:55 EDT","ATX","2","0.94","0.96","NYC","1","1.44","1.44","1","-0.50","-0.49","1","0.96","1.76"
"2024-07-06","21:30 EDT","RSL","5","1.58","1.59","ATL","2","0.94","0.95","3","0.64","0.63","3","1.84","0.89"
"2024-07-06","19:30 EDT","MTL","1","0.85","0.85","VAN","1","1.34","1.34","0","-0.49","-0.49","0","0.91","1.82"
"2024-07-06","19:30 EDT","CLB","4","1.97","1.97","TOR","0","0.39","0.39","4","1.58","1.58","4","2.61","0.27"
"2024-07-06","19:30 EDT","CIN","6","2.49","2.49","MIA","1","1.32","1.36","5","1.17","1.13","5","2.12","0.68"
"2024-07-06","19:30 EDT","ORL","5","1.77","1.78","DCU","0","0.49","0.49","5","1.28","1.29","5","2.41","0.41"
"2024-07-06","19:30 EDT","PHI","0","3.02","3.24","NYRB","0","2.24","2.26","0","0.78","0.98","0","1.93","0.88"
"2024-07-04","22:40 EDT","LAG","1","1.11","1.11","LAFC","2","2.62","2.70","-1","-1.51","-1.59","-1","0.42","2.41"
"2024-07-04","21:30 EDT","COL","2","2.64","2.64","SKC","1","1.22","1.23","1","1.42","1.41","1","2.27","0.56"
"2024-07-04","20:30 EDT","FCD","2","1.61","1.63","POR","2","1.53","1.53","0","0.08","0.10","1","1.43","1.32"
"2024-07-03","21:30 EDT","RSL","3","3.00","3.02","HOU","1","1.09","1.10","2","1.91","1.92","1","2.53","0.35"
"2024-07-03","20:45 EDT","CLB","2","1.91","1.91","NSH","0","0.36","0.36","2","1.55","1.55","2","2.55","0.31"
"2024-07-03","20:30 EDT","CHI","4","3.46","3.50","PHI","3","1.31","1.32","1","2.15","2.18","1","2.60","0.28"
"2024-07-03","20:30 EDT","STL","2","3.55","3.55","SJE","0","0.45","0.45","2","3.10","3.11","2","2.88","0.07"
"2024-07-03","20:30 EDT","MIN","1","3.45","3.46","VAN","3","0.91","0.91","-2","2.54","2.55","-2","2.83","0.12"
"2024-07-03","19:45 EDT","NER","2","1.16","1.16","ATL","1","1.59","1.59","1","-0.43","-0.43","1","1.10","1.64"
"2024-07-03","19:30 EDT","NYC","2","3.13","3.13","MTL","0","1.10","1.10","2","2.03","2.03","2","2.56","0.31"
"2024-07-03","19:30 EDT","TOR","1","1.27","1.27","ORL","1","1.29","1.31","0","-0.02","-0.04","-1","1.35","1.39"
"2024-07-03","19:30 EDT","CLT","1","1.74","1.74","MIA","2","1.36","1.36","-1","0.38","0.38","-1","1.59","1.16"
"2024-07-03","19:30 EDT","DCU","2","1.29","1.30","CIN","3","1.89","1.90","-1","-0.61","-0.60","-1","0.95","1.83"
"2024-06-29","22:30 EDT","SEA","2","2.34","2.34","CHI","1","1.33","1.33","1","1.01","1.01","1","2.11","0.64"
"2024-06-29","22:30 EDT","LAFC","3","2.66","2.69","COL","0","0.65","0.66","3","2.01","2.03","3","2.64","0.23"
"2024-06-29","22:30 EDT","VAN","4","1.58","1.62","STL","3","2.07","2.18","1","-0.49","-0.56","1","0.95","1.80"
"2024-06-29","22:30 EDT","POR","3","4.28","4.49","MIN","2","1.36","1.36","1","2.92","3.13","1","2.79","0.14"
"2024-06-29","22:30 EDT","SJE","0","1.90","1.90","LAG","3","1.72","1.73","-3","0.18","0.17","-3","1.53","1.23"
"2024-06-29","20:30 EDT","NSH","1","1.34","1.34","MIA","2","0.85","0.85","-1","0.49","0.49","-1","1.80","0.88"
