"","Player","Team","Season","Position","Minutes","Passes","Pass %","xPass %","Score","Per100","Distance","Vertical","Touch %","Games"
"","Joseph Rosales","MIN","2024","FB","2680","1446","69.9%","71.0%","-15.08","-1.04","20.33","2.87","11.4%","30"
"","Duncan McGuire","ORL","2024","ST","1841","335","71.6%","76.2%","-15.34","-4.58","13.91","-1.72","3.0%","27"
"","William Agada","SKC","2024","ST","1947","433","78.3%","81.9%","-15.61","-3.60","15.26","-3.41","3.4%","32"
"","Teal Bunbury","NSH","2024","ST","1308","336","70.8%","75.5%","-15.61","-4.65","15.44","-1.45","3.1%","27"
"","Julián Carranza","PHI","2024","ST","1224","279","71.3%","77.0%","-15.68","-5.62","13.86","-0.33","7.6%","12"
"","Caden Clark","MIN, MTL","2024","FB","1915","639","73.9%","76.4%","-15.97","-2.50","16.57","2.32","4.9%","32"
"","Gabriel Pirani","DCU","2024","W","1599","436","75.7%","79.4%","-16.24","-3.72","14.41","0.98","3.6%","33"
"","Paul Arriola","FCD","2024","FB","2747","1098","76.4%","77.9%","-16.37","-1.49","18.08","3.49","7.3%","31"
"","Erik Thommy","SKC","2024","CM","2576","1109","78.8%","80.3%","-16.55","-1.49","17.93","-0.60","8.0%","30"
"","Patrick Agyemang","CLT","2024","ST","2070","225","68.9%","76.4%","-16.82","-7.48","13.54","-0.77","3.1%","31"
"","Júnior Urso","CLT","2024","DM","1171","399","81.7%","86.0%","-17.04","-4.27","17.42","0.59","4.7%","21"
"","Jared Stroud","DCU","2024","W","2749","887","67.9%","69.8%","-17.05","-1.92","16.63","0.75","6.8%","33"
"","Bryce Duke","MTL","2024","AM","2379","1240","80.5%","81.9%","-17.12","-1.38","15.72","1.20","7.3%","32"
"","Pedro de la Vega","SEA","2024","W","740","291","71.8%","77.7%","-17.21","-5.91","18.24","1.33","4.0%","16"
"","Julian Gressel","MIA","2024","W","2521","1201","79.1%","80.5%","-17.37","-1.45","19.21","1.02","6.1%","32"
"","Tani Oluwaseyi","MIN","2024","ST","1262","202","60.4%","69.0%","-17.41","-8.62","14.15","0.53","2.7%","25"
"","Brandt Bronico","CLT","2024","AM","1924","521","76.4%","79.8%","-17.59","-3.38","18.10","1.67","5.0%","25"
"","Andrew Gutman","CHI","2024","FB","792","372","72.0%","76.8%","-17.69","-4.76","22.25","4.03","7.5%","11"
"","Alan Velasco","FCD","2024","W","419","160","70.6%","81.7%","-17.70","-11.06","19.24","2.39","4.4%","8"
"","João Klauss","STL","2024","ST","2186","554","67.5%","70.7%","-17.90","-3.23","14.47","1.58","5.5%","27"
"","Iuri Tavares","CLT","2024","W","1082","258","64.7%","71.8%","-18.17","-7.04","16.06","0.64","3.2%","28"
"","Giacomo Vrioni","NER","2024","ST","2467","329","68.1%","73.7%","-18.53","-5.63","14.42","-3.06","3.2%","31"
"","Mikael Uhre","PHI","2024","ST","2255","407","62.9%","67.5%","-18.71","-4.60","13.88","-1.16","4.1%","30"
"","Jacob Shaffelburg","NSH","2024","W","1569","448","57.6%","61.9%","-19.24","-4.29","19.34","1.70","4.9%","23"
"","Tyrese Spicer","TOR","2024","FB","1204","414","67.2%","71.8%","-19.31","-4.66","17.92","2.88","5.1%","19"
"","Alexandros Katranis","RSL","2024","FB","2226","1193","75.5%","77.1%","-19.33","-1.62","18.51","1.14","7.4%","29"
"","Luis Suárez","MIA","2024","ST","2165","705","75.0%","77.8%","-19.61","-2.78","15.42","0.44","5.0%","27"
"","Luca Orellano","CIN","2024","FB","2905","1457","75.8%","77.2%","-19.61","-1.35","18.51","0.98","8.9%","33"
"","Alan Pulido","SKC","2024","ST","2182","680","82.1%","85.0%","-19.70","-2.90","15.59","-2.46","4.7%","31"
"","Hernán López","SJE","2024","AM","1983","666","69.4%","72.3%","-19.71","-2.96","22.23","8.46","8.2%","24"
"","Monsef Bakrar","NYC","2024","ST","1550","273","66.7%","74.0%","-19.97","-7.32","11.76","-1.00","3.1%","28"
"","Jacen Russell-Rowe","CLB","2024","ST","1193","309","73.8%","80.3%","-20.14","-6.52","15.48","1.11","2.9%","22"
"","Sam Surridge","NSH","2024","ST","2671","592","69.6%","73.0%","-20.37","-3.44","16.63","0.23","5.3%","28"
"","Paul Rothrock","SEA","2024","W","1476","449","70.2%","74.8%","-20.73","-4.62","17.46","-2.53","4.1%","25"
"","Kellyn Acosta","CHI","2024","CM","2575","1319","80.2%","81.8%","-21.03","-1.59","20.10","2.85","7.3%","34"
"","Dejan Joveljic","LAG","2024","ST","2108","369","71.5%","77.3%","-21.12","-5.72","13.42","-0.84","2.9%","28"
"","Brian White","VAN","2024","ST","2709","512","69.3%","73.6%","-21.85","-4.27","14.28","-1.12","4.4%","30"
"","Felipe Mora","POR","2024","ST","2109","386","72.5%","78.3%","-22.34","-5.79","14.08","-3.18","3.3%","29"
"","Jonathan Sirois","MTL","2024","GK","3340","1261","79.6%","81.4%","-22.43","-1.78","28.12","19.71","6.3%","33"
"","Alex Muyl","NSH","2024","W","2565","891","77.0%","79.6%","-22.91","-2.57","17.79","1.46","6.3%","34"
"","Carlos Coronel","NYRB","2024","GK","2773","890","63.1%","65.7%","-22.99","-2.58","41.57","33.37","6.5%","27"
"","Amahl Pellegrino","SJE","2024","W","1903","440","73.6%","79.4%","-25.50","-5.80","16.29","-1.50","3.5%","32"
"","Antony","POR","2024","W","2141","673","74.6%","78.4%","-25.59","-3.80","15.87","-1.82","5.1%","33"
"","Elias Manoel","NYRB","2024","ST","1771","307","66.1%","74.6%","-26.14","-8.51","15.31","-2.42","2.6%","33"
"","Matt Freese","NYC","2024","GK","3420","1308","79.7%","81.8%","-27.00","-2.06","30.70","20.90","6.5%","34"
"","Petar Musa","FCD","2024","ST","2566","610","68.8%","73.4%","-27.51","-4.51","16.26","2.21","5.3%","30"
"","John McCarthy","LAG","2024","GK","3268","934","70.5%","73.4%","-27.63","-2.96","34.21","26.97","4.5%","32"
"","Cristian Arango","RSL","2024","ST","2571","617","70.2%","74.8%","-28.26","-4.58","17.80","3.10","5.2%","30"
"","Dante Vanzeir","NYRB","2024","ST","2293","456","62.5%","68.9%","-29.32","-6.43","15.63","0.73","4.0%","32"
"","Tim Melia","SKC","2024","GK","2828","871","65.7%","69.1%","-29.76","-3.42","38.77","30.39","5.4%","28"
"","Devin Padelford","MIN","2024","CB","1815","769","69.6%","73.5%","-29.98","-3.90","20.59","6.75","7.4%","24"
"","Jáder Obrian","ATX","2024","W","2459","682","71.5%","76.2%","-31.70","-4.65","14.68","-0.45","5.0%","34"
"","Prince Owusu","TOR","2024","ST","2074","385","71.2%","79.6%","-32.59","-8.47","14.08","-2.30","3.5%","31"
"","Theodore Ku-Dipietro","DCU","2024","W","2075","460","65.9%","73.0%","-32.81","-7.13","14.49","2.15","4.7%","29"
"","Cameron Harper","NYRB","2024","W","1588","451","59.2%","66.9%","-34.57","-7.67","19.86","3.97","4.5%","27"
"","Rafael Navarro","COL","2024","ST","3063","721","72.4%","77.3%","-35.19","-4.88","13.35","0.34","6.3%","34"
"","Dayne St. Clair","MIN","2024","GK","2653","833","56.1%","60.4%","-35.84","-4.30","41.98","35.06","6.4%","26"
"","Hugo Cuypers","CHI","2024","ST","2903","597","69.7%","75.8%","-36.38","-6.09","13.86","-0.32","5.2%","31"
"","Jeong Sang-Bin","MIN","2024","W","2434","748","65.4%","70.5%","-37.98","-5.08","17.11","1.27","5.8%","32"
"","Cucho Hernández","CLB","2024","ST","2369","965","66.1%","71.3%","-50.15","-5.20","20.57","6.42","7.3%","27"
