"","Player","Team","Season","Position","Minutes","Passes","Pass %","xPass %","Score","Per100","Distance","Vertical","Touch %","Games"
"","Owen Wolff","ATX","2024","W","2047","760","82.2%","80.0%","17.40","2.29","19.45","-1.00","5.2%","33"
"","Ronald Hernández","ATL","2024","FB","831","407","83.0%","78.8%","17.28","4.25","19.34","5.00","6.2%","13"
"","Ilie Sánchez","LAFC","2024","DM","2388","1192","86.5%","85.0%","17.16","1.44","19.62","4.73","7.4%","31"
"","Jack Maher","NSH","2024","CB","2721","1498","88.5%","87.4%","17.14","1.14","23.88","7.32","10.3%","28"
"","Daniel Edelman","NYRB","2024","CM","2846","1509","84.4%","83.3%","17.12","1.13","19.58","4.47","10.0%","31"
"","Will Sands","NER, CLB","2024","FB","777","397","88.4%","84.2%","16.72","4.21","17.08","-1.48","6.9%","11"
"","Jack Elliott","PHI","2024","CB","2695","1245","82.5%","81.2%","16.51","1.33","28.61","13.59","9.7%","28"
"","Nicksoen Gomis","TOR","2024","CB","2274","1161","88.4%","87.0%","16.23","1.40","20.66","6.65","8.6%","24"
"","Michael Boxall","MIN","2024","CB","3215","1200","84.3%","83.0%","16.14","1.35","21.85","7.95","8.5%","32"
"","Ashley Westwood","CLT","2024","DM","3368","1989","81.0%","80.2%","16.13","0.81","22.71","6.82","11.6%","33"
"","Robert Voloder","SKC","2024","CB","1978","1037","85.5%","84.0%","15.43","1.49","24.69","8.18","9.8%","21"
"","Sebastien Ibeagha","FCD","2024","CB","3167","1616","83.7%","82.7%","15.42","0.95","20.31","9.05","9.9%","31"
"","Evander","POR","2024","AM","2780","1455","76.8%","75.7%","15.36","1.06","20.75","3.63","10.5%","28"
"","Eddie Segura","LAFC","2024","CB","1542","913","87.8%","86.2%","15.28","1.67","20.71","5.34","6.5%","27"
"","Khiry Shelton","SKC","2024","FB","1192","632","86.7%","84.3%","15.28","2.42","18.17","2.77","6.6%","19"
"","Nelson Palacio","RSL","2024","DM","891","548","89.6%","86.8%","15.27","2.79","22.37","3.98","4.2%","23"
"","Taylor Washington","NSH","2024","FB","858","452","79.4%","76.1%","15.04","3.33","21.44","5.37","5.9%","15"
"","Bartosz Slisz","ATL","2024","DM","2706","1447","85.6%","84.5%","14.97","1.03","19.06","3.97","10.1%","28"
"","Memo Rodríguez","SKC","2024","CM","1789","949","79.2%","77.7%","14.65","1.54","22.45","4.54","7.0%","26"
"","Adilson Malanda","CLT","2024","CB","3271","1805","85.5%","84.7%","14.48","0.80","26.02","10.77","11.7%","32"
"","Bryan Oviedo","RSL","2024","FB","743","444","87.2%","83.9%","14.47","3.26","19.65","2.16","4.9%","15"
"","John Nelson","LAG","2024","FB","1324","729","86.0%","84.0%","14.30","1.96","17.03","2.02","4.8%","23"
"","Leon Flach","PHI","2024","DM","2027","613","85.6%","83.3%","14.30","2.33","17.56","4.26","6.4%","23"
"","Miguel Araujo","POR","2024","CB","1785","833","83.7%","82.0%","14.23","1.71","24.83","9.39","7.6%","22"
"","Robert Castellanos","SKC","2024","CB","1166","663","86.1%","84.0%","14.20","2.14","23.86","8.37","8.7%","14"
"","Luis Muriel","ORL","2024","ST","1819","717","79.1%","77.1%","14.12","1.97","16.70","4.13","4.9%","33"
"","Nemanja Radoja","SKC","2024","DM","2375","1353","87.8%","86.8%","14.07","1.04","20.50","4.17","9.7%","25"
"","Jefferson Díaz","MIN","2024","CB","899","425","82.6%","79.3%","14.02","3.30","20.37","9.54","10.2%","9"
"","Dany Rosero","SKC","2024","CB","2122","1090","87.1%","85.8%","14.00","1.28","23.06","7.54","9.0%","23"
"","Stefan Frei","SEA","2024","GK","2756","796","72.9%","71.1%","14.00","1.76","38.38","29.84","4.7%","29"
"","Sergii Kryvtsov","MIA","2024","CB","1572","1022","92.5%","91.1%","13.98","1.37","21.37","5.31","7.5%","23"
"","Nkosi Tafari","FCD","2024","CB","2573","1403","85.0%","84.0%","13.89","0.99","23.09","9.84","9.4%","28"
"","Kervin Arriaga","MIN","2024","CB","1011","491","80.9%","78.0%","13.81","2.81","22.62","8.54","8.9%","13"
"","Matt Crooks","RSL","2024","AM","2083","881","84.5%","82.9%","13.63","1.55","17.07","1.79","5.9%","29"
"","Oliver Larraz","COL","2024","DM","2438","1142","84.2%","83.1%","13.43","1.18","18.45","3.43","7.3%","34"
"","Yaw Yeboah","CLB","2024","FB","1211","586","84.1%","81.9%","13.26","2.26","14.66","-1.34","4.2%","24"
"","Nicolás Freire","MIA","2024","CB","825","696","90.8%","88.9%","13.23","1.90","20.98","6.28","10.8%","10"
"","Omir Fernández","COL","2024","W","1888","474","78.3%","75.5%","13.19","2.78","14.30","0.61","3.8%","33"
