"","Player","Team","Season","Position","Minutes","Dribbling","Fouling","Interrupting","Passing","Receiving","Shooting","Goals Added"
"","Martín Ojeda","ORL","2024","AM","2127","-0.88","-0.18","0.06","-1.41","0.54","0.14","-1.72"
"","Raoul Petretta","TOR","2024","CB","2096","-0.34","0.16","-1.20","-0.33","-0.06","0.03","-1.74"
"","Dani Pereira","ATX","2024","DM","2283","-0.07","0.09","-0.45","-0.49","-0.53","-0.30","-1.75"
"","Jere Uronen","CLT","2024","FB","2408","-0.18","0.12","-0.41","-0.80","-0.35","-0.15","-1.78"
"","Hugo Cuypers","CHI","2024","ST","2903","-0.22","-0.39","0.14","-0.37","-0.97","0.02","-1.79"
"","Alex Ring","ATX","2024","DM","2930","-0.28","-1.04","-0.34","-0.65","0.35","0.17","-1.79"
"","Andrew Brody","RSL","2024","FB","2418","0.07","0.10","-1.08","-0.06","-0.61","-0.28","-1.86"
"","Sigurd Rosted","TOR","2024","CB","1958","-0.77","-0.09","-0.42","-0.16","-0.34","-0.12","-1.89"
"","Jáder Obrian","ATX","2024","W","2459","0.58","-0.03","-0.11","-1.70","-0.36","-0.35","-1.97"
"","Brian Anunga","NSH","2024","DM","1659","-0.49","-0.38","0.23","-0.61","-0.44","-0.30","-1.99"
"","Brandt Bronico","CLT","2024","AM","1924","-0.23","-0.18","-0.19","-1.05","-0.04","-0.31","-2.00"
"","Jonathan Osorio","TOR","2024","AM","2095","0.09","0.15","-0.17","-0.84","-0.77","-0.48","-2.02"
"","Jeremy Ebobisse","SJE","2024","ST","2117","-0.14","0.09","-0.33","-0.33","-0.87","-0.48","-2.05"
"","Obinna Nwobodo","CIN","2024","CM","2762","-0.11","-0.50","0.52","-0.53","-0.96","-0.50","-2.07"
"","Kyle Hiebert","STL","2024","CB","1560","-0.11","-0.15","-1.21","-0.23","-0.24","-0.15","-2.08"
"","Daniel Edelman","NYRB","2024","CM","2846","0.04","0.03","-1.29","0.46","-0.84","-0.51","-2.12"
"","Teal Bunbury","NSH","2024","ST","1308","-0.93","-0.14","0.00","-0.46","-0.31","-0.31","-2.15"
"","Ariel Lassiter","CHI, MTL","2024","FB","2279","-0.37","0.01","-0.44","-1.06","-0.41","0.10","-2.17"
"","Miki Yamane","LAG","2024","FB","3288","-0.69","-0.23","-0.15","-0.93","0.09","-0.26","-2.17"
"","Matt Polster","NER","2024","DM","2933","-0.55","0.03","-0.51","-0.56","-0.23","-0.36","-2.18"
"","Samuel Piette","MTL","2024","CM","2348","-0.44","-0.19","-0.42","-0.10","-0.75","-0.33","-2.23"
"","Bryce Duke","MTL","2024","AM","2379","-0.40","-0.08","-0.63","-0.29","-0.65","-0.31","-2.36"
"","Sebastian Kowalczyk","HOU","2024","ST","2389","0.21","-0.21","-0.16","-0.26","-1.74","-0.26","-2.43"
"","Carlos Gruezo","SJE","2024","DM","2175","-0.32","-0.34","-0.41","-0.70","-0.55","-0.20","-2.52"
"","Kellyn Acosta","CHI","2024","CM","2575","-0.46","-0.07","-0.81","-0.49","-0.47","-0.21","-2.52"
"","Ibrahim Aliyu","HOU","2024","W","2912","-0.70","-0.33","-0.21","-1.54","-0.21","0.28","-2.72"
"","Darlington Nagbe","CLB","2024","CM","2653","-0.17","0.11","-0.67","-0.75","-0.87","-0.58","-2.93"
"","Alan Pulido","SKC","2024","ST","2182","-0.37","-0.16","-0.21","-1.18","-1.14","-0.33","-3.38"
